id,category,score_name,score,notes,human_explanation,use_pop,use_emp,use_k12,use_tech,use_univ,use_doctor,use_dentist,use_hospital,use_pharmacy,use_retail,use_grocery,use_social_svcs,use_parks,use_trails,use_comm_ctrs,use_transit
29,Opportunity,Average score of low stress access to universities,0.0000,Number of universities accessible by low stress expressed as an average of all census blocks in the neighborhood,"On average, census blocks in the neighborhood have low stress access to this many universities.",,,,,,,,,,,,,,,,
30,Opportunity,Median score of university access,0.0000,Score of universities accessible by low stress compared to universities accessible by high stress expressed as the median of all census blocks in the neighborhood,"Half of census blocks in this neighborhood have low stress access to a higher ratio of universities within biking distance, half have access to a lower ratio.",,,,,,,,,,,,,,,,
31,Opportunity,70th percentile score of university access,0.0000,Score of universities accessible by low stress compared to universities accessible by high stress expressed as the 70th percentile of all census blocks in the neighborhood,"30% of census blocks in this neighborhood have low stress access to a higher ratio of universities within biking distance, 70% have access to a lower ratio.",,,,,,,,,,,,,,,,
32,Opportunity,30th percentile score of university access,0.0000,Score of universities accessible by low stress compared to universities accessible by high stress expressed as the 30th percentile of all census blocks in the neighborhood,"70% of census blocks in this neighborhood have low stress access to a higher ratio of universities within biking distance, 30% have access to a lower ratio.",,,,,,,,,,,,,,,,
33,Opportunity,Average score of access to universities,0.4855,Average universities score for census blocks weighted by population.,"On average, census blocks in the neighborhood received this universities score.",,,,,t,,,,,,,,,,,
34,Opportunity,Average university bike shed access score,0.4814,Score of population with low stress access compared to total population within the bike shed distance of universities in the neighborhood expressed as an average of all universities in the neighborhood,"On average, universities in the neighborhood are connected by the low stress access to this percentage people within biking distance.",,,,,,,,,,,,,,,,
35,Opportunity,Median university population shed score,0.3038,Score of population with low stress access to universities in the neighborhood to total population within the bike shed of each university expressed as a median of all universities in the neighborhood,"Half of universities in the neighborhood have low stress connections to a higher percentage of people within biking distance, half are connected to a lower percentage. (if only one university exists this is the score for that one location)",,,,,,,,,,,,,,,,
36,Opportunity,70th percentile university population shed score,0.4045,Score of population with low stress access to universities in the neighborhood to total population within the bike shed of each university expressed as the 70th percentile of all universities in the neighborhood,"30% of universities in the neighborhood have low stress connections to a higher percentage of people within biking distance, 70% are connected to a lower percentage. (if only one university exists this is the score for that one location)",,,,,,,,,,,,,,,,
37,Opportunity,30th percentile university population shed score,0.2030,Score of population with low stress access to universities in the neighborhood to total population within the bike shed of each university expressed as the 30th percentile of all universities in the neighborhood,"70% of universities in the neighborhood have low stress connections to a higher percentage of people within biking distance, 30% are connected to a lower percentage. (if only one university exists this is the score for that one location)",,,,,,,,,,,,,,,,
38,Core Services,Average score of low stress access to doctors,0.0000,Number of doctors accessible by low stress expressed as an average of all census blocks in the neighborhood,"On average, census blocks in the neighborhood have low stress access to this many doctors.",,,,,,,,,,,,,,,,
39,Core Services,Median score of doctors access,0.0000,Score of doctors accessible by low stress compared to doctors accessible by high stress expressed as the median of all census blocks in the neighborhood,"Half of census blocks in this neighborhood have low stress access to a higher ratio of doctors within biking distance, half have access to a lower ratio.",,,,,,,,,,,,,,,,
40,Core Services,70th percentile score of doctors access,0.0000,Score of doctors accessible by low stress compared to doctors accessible by high stress expressed as the 70th percentile of all census blocks in the neighborhood,"30% of census blocks in this neighborhood have low stress access to a higher ratio of doctors within biking distance, 70% have access to a lower ratio.",,,,,,,,,,,,,,,,
41,Core Services,30th percentile score of doctors access,0.0000,Score of doctors accessible by low stress compared to doctors accessible by high stress expressed as the 30th percentile of all census blocks in the neighborhood,"70% of census blocks in this neighborhood have low stress access to a higher ratio of doctors within biking distance, 30% have access to a lower ratio.",,,,,,,,,,,,,,,,
42,Core Services,Average score of access to doctors,0.1426,Average doctors score for census blocks weighted by population.,"On average, census blocks in the neighborhood received this doctors score.",,,,,,t,,,,,,,,,,
43,Core Services,Average doctors bike shed access score,0.0917,Score of population with low stress access compared to total population within the bike shed distance of doctors in the neighborhood expressed as an average of all doctors in the neighborhood,"On average, doctors in the neighborhood are connected by the low stress access to this percentage people within biking distance.",,,,,,,,,,,,,,,,
44,Core Services,Median doctors population shed score,0.0668,Score of population with low stress access to doctors in the neighborhood to total population within the bike shed of each doctors office expressed as a median of all doctors in the neighborhood,"Half of doctors in the neighborhood have low stress connections to a higher percentage of people within biking distance, half are connected to a lower percentage. (if only one doctors office exists this is the score for that one location)",,,,,,,,,,,,,,,,
45,Core Services,70th percentile doctors population shed score,0.1127,Score of population with low stress access to doctors in the neighborhood to total population within the bike shed of each doctors office expressed as the 70th percentile of all doctors in the neighborhood,"30% of doctors in the neighborhood have low stress connections to a higher percentage of people within biking distance, 70% are connected to a lower percentage. (if only one doctors exists this is the score for that one location)",,,,,,,,,,,,,,,,
46,Core Services,30th percentile doctors population shed score,0.0367,Score of population with low stress access to doctors in the neighborhood to total population within the bike shed of each doctors office expressed as the 30th percentile of all doctors in the neighborhood,"70% of doctors in the neighborhood have low stress connections to a higher percentage of people within biking distance, 30% are connected to a lower percentage. (if only one doctors exists this is the score for that one location)",,,,,,,,,,,,,,,,
47,Core Services,Average score of low stress access to dentists,0.0000,Number of dentists accessible by low stress expressed as an average of all census blocks in the neighborhood,"On average, census blocks in the neighborhood have low stress access to this many dentists.",,,,,,,,,,,,,,,,
48,Core Services,Median score of dentists access,0.0000,Score of dentists accessible by low stress compared to dentists accessible by high stress expressed as the median of all census blocks in the neighborhood,"Half of census blocks in this neighborhood have low stress access to a higher ratio of dentists within biking distance, half have access to a lower ratio.",,,,,,,,,,,,,,,,
49,Core Services,70th percentile score of dentists access,0.0000,Score of dentists accessible by low stress compared to dentists accessible by high stress expressed as the 70th percentile of all census blocks in the neighborhood,"30% of census blocks in this neighborhood have low stress access to a higher ratio of dentists within biking distance, 70% have access to a lower ratio.",,,,,,,,,,,,,,,,
50,Core Services,30th percentile score of dentists access,0.0000,Score of dentists accessible by low stress compared to dentists accessible by high stress expressed as the 30th percentile of all census blocks in the neighborhood,"70% of census blocks in this neighborhood have low stress access to a higher ratio of dentists within biking distance, 30% have access to a lower ratio.",,,,,,,,,,,,,,,,
51,Core Services,Average score of access to dentists,0.2423,Average dentists score for census blocks weighted by population.,"On average, census blocks in the neighborhood received this dentists score.",,,,,,,t,,,,,,,,,
52,Core Services,Average dentists bike shed access score,0.2330,Score of population with low stress access compared to total population within the bike shed distance of dentists in the neighborhood expressed as an average of all dentists in the neighborhood,"On average, dentists in the neighborhood are connected by the low stress access to this percentage people within biking distance.",,,,,,,,,,,,,,,,
53,Core Services,Median dentists population shed score,0.2966,Score of population with low stress access to dentists in the neighborhood to total population within the bike shed of each dentists office expressed as a median of all dentists in the neighborhood,"Half of dentists in the neighborhood have low stress connections to a higher percentage of people within biking distance, half are connected to a lower percentage. (if only one dentists office exists this is the score for that one location)",,,,,,,,,,,,,,,,
54,Core Services,70th percentile dentists population shed score,0.3392,Score of population with low stress access to dentists in the neighborhood to total population within the bike shed of each dentists office expressed as the 70th percentile of all dentists in the neighborhood,"30% of dentists in the neighborhood have low stress connections to a higher percentage of people within biking distance, 70% are connected to a lower percentage. (if only one dentists office exists this is the score for that one location)",,,,,,,,,,,,,,,,
55,Core Services,30th percentile dentists population shed score,0.2071,Score of population with low stress access to dentists in the neighborhood to total population within the bike shed of each dentists office expressed as the 30th percentile of all dentists in the neighborhood,"70% of dentists in the neighborhood have low stress connections to a higher percentage of people within biking distance, 30% are connected to a lower percentage. (if only one dentists office exists this is the score for that one location)",,,,,,,,,,,,,,,,
56,Core Services,Average score of low stress access to hospitals,0.0000,Number of hospitals accessible by low stress expressed as an average of all census blocks in the neighborhood,"On average, census blocks in the neighborhood have low stress access to this many hospitals.",,,,,,,,,,,,,,,,
57,Core Services,Median score of hospitals access,0.0000,Score of hospitals accessible by low stress compared to hospitals accessible by high stress expressed as the median of all census blocks in the neighborhood,"Half of census blocks in this neighborhood have low stress access to a higher ratio of hospitals within biking distance, half have access to a lower ratio.",,,,,,,,,,,,,,,,
58,Core Services,70th percentile score of hospitals access,0.0000,Score of hospitals accessible by low stress compared to hospitals accessible by high stress expressed as the 70th percentile of all census blocks in the neighborhood,"30% of census blocks in this neighborhood have low stress access to a higher ratio of hospitals within biking distance, 70% have access to a lower ratio.",,,,,,,,,,,,,,,,
59,Core Services,30th percentile score of hospitals access,0.0000,Score of hospitals accessible by low stress compared to hospitals accessible by high stress expressed as the 30th percentile of all census blocks in the neighborhood,"70% of census blocks in this neighborhood have low stress access to a higher ratio of hospitals within biking distance, 30% have access to a lower ratio.",,,,,,,,,,,,,,,,
60,Core Services,Average score of access to hospitals,0.2110,Average hospital score for census blocks weighted by population.,"On average, census blocks in the neighborhood received this hospital score.",,,,,,,,t,,,,,,,,
61,Core Services,Average hospitals bike shed access score,0.2347,Score of population with low stress access compared to total population within the bike shed distance of hospitals in the neighborhood expressed as an average of all hospitals in the neighborhood,"On average, hospitals in the neighborhood are connected by the low stress access to this percentage people within biking distance.",,,,,,,,,,,,,,,,
62,Core Services,Median hospitals population shed score,0.1940,Score of population with low stress access to hospitals in the neighborhood to total population within the bike shed of each hospital expressed as a median of all hospitals in the neighborhood,"Half of hospitals in the neighborhood have low stress connections to a higher percentage of people within biking distance, half are connected to a lower percentage. (if only one hospital exists this is the score for that one location)",,,,,,,,,,,,,,,,
63,Core Services,70th percentile hospitals population shed score,0.2987,Score of population with low stress access to hospitals in the neighborhood to total population within the bike shed of each hospital expressed as the 70th percentile of all hospitals in the neighborhood,"30% of hospitals in the neighborhood have low stress connections to a higher percentage of people within biking distance, 70% are connected to a lower percentage. (if only one hospital exists this is the score for that one location)",,,,,,,,,,,,,,,,
64,Core Services,30th percentile hospitals population shed score,0.1049,Score of population with low stress access to hospitals in the neighborhood to total population within the bike shed of each hospital expressed as the 30th percentile of all hospitals in the neighborhood,"70% of hospitals in the neighborhood have low stress connections to a higher percentage of people within biking distance, 30% are connected to a lower percentage. (if only one hospital exists this is the score for that one location)",,,,,,,,,,,,,,,,
65,Core Services,Average score of low stress access to pharmacies,0.0000,Number of pharmacies accessible by low stress expressed as an average of all census blocks in the neighborhood,"On average, census blocks in the neighborhood have low stress access to this many pharmacies.",,,,,,,,,,,,,,,,
66,Core Services,Median score of pharmacies access,0.0000,Score of pharmacies accessible by low stress compared to pharmacies accessible by high stress expressed as the median of all census blocks in the neighborhood,"Half of census blocks in this neighborhood have low stress access to a higher ratio of pharmacies within biking distance, half have access to a lower ratio.",,,,,,,,,,,,,,,,
67,Core Services,70th percentile score of pharmacies access,0.0000,Score of pharmacies accessible by low stress compared to pharmacies accessible by high stress expressed as the 70th percentile of all census blocks in the neighborhood,"30% of census blocks in this neighborhood have low stress access to a higher ratio of pharmacies within biking distance, 70% have access to a lower ratio.",,,,,,,,,,,,,,,,
68,Core Services,30th percentile score of pharmacies access,0.0000,Score of pharmacies accessible by low stress compared to pharmacies accessible by high stress expressed as the 30th percentile of all census blocks in the neighborhood,"70% of census blocks in this neighborhood have low stress access to a higher ratio of pharmacies within biking distance, 30% have access to a lower ratio.",,,,,,,,,,,,,,,,
69,Core Services,Average score of access to pharmacies,0.1082,Average pharmacies score for census blocks weighted by population.,"On average, census blocks in the neighborhood received this pharmacies score.",,,,,,,,,t,,,,,,,
70,Core Services,Average pharmacies bike shed access score,0.0680,Score of population with low stress access compared to total population within the bike shed distance of pharmacies in the neighborhood expressed as an average of all pharmacies in the neighborhood,"On average, pharmacies in the neighborhood are connected by the low stress access to this percentage people within biking distance.",,,,,,,,,,,,,,,,
71,Core Services,Median pharmacies population shed score,0.0374,Score of population with low stress access to pharmacies in the neighborhood to total population within the bike shed of each pharmacy expressed as a median of all pharmacies in the neighborhood,"Half of pharmacies in the neighborhood have low stress connections to a higher percentage of people within biking distance, half are connected to a lower percentage. (if only one pharmacy exists this is the score for that one location)",,,,,,,,,,,,,,,,
72,Core Services,70th percentile pharmacies population shed score,0.0714,Score of population with low stress access to pharmacies in the neighborhood to total population within the bike shed of each pharmacy expressed as the 70th percentile of all pharmacies in the neighborhood,"30% of pharmacies in the neighborhood have low stress connections to a higher percentage of people within biking distance, 70% are connected to a lower percentage. (if only one pharmacy exists this is the score for that one location)",,,,,,,,,,,,,,,,
73,Core Services,30th percentile pharmacies population shed score,0.0306,Score of population with low stress access to pharmacies in the neighborhood to total population within the bike shed of each pharmacy expressed as the 30th percentile of all pharmacies in the neighborhood,"70% of pharmacies in the neighborhood have low stress connections to a higher percentage of people within biking distance, 30% are connected to a lower percentage. (if only one pharmacy exists this is the score for that one location)",,,,,,,,,,,,,,,,
74,Retail,Average score of low stress access to retail,0.0000,Number of retail accessible by low stress expressed as an average of all census blocks in the neighborhood,"On average, census blocks in the neighborhood have low stress access to this many retail.",,,,,,,,,,,,,,,,
75,Retail,Median score of retail access,0.0000,Score of retail accessible by low stress compared to retail accessible by high stress expressed as the median of all census blocks in the neighborhood,"Half of census blocks in this neighborhood have low stress access to a higher ratio of retail within biking distance, half have access to a lower ratio.",,,,,,,,,,,,,,,,
76,Retail,70th percentile score of retail access,0.0541,Score of retail accessible by low stress compared to retail accessible by high stress expressed as the 70th percentile of all census blocks in the neighborhood,"30% of census blocks in this neighborhood have low stress access to a higher ratio of retail within biking distance, 70% have access to a lower ratio.",,,,,,,,,,,,,,,,
77,Retail,30th percentile score of retail access,0.0000,Score of retail accessible by low stress compared to retail accessible by high stress expressed as the 30th percentile of all census blocks in the neighborhood,"70% of census blocks in this neighborhood have low stress access to a higher ratio of retail within biking distance, 30% have access to a lower ratio.",,,,,,,,,,,,,,,,
78,Retail,Average score of access to retail,0.4047,Average retail score for census blocks weighted by population.,"On average, census blocks in the neighborhood received this retail score.",,,,,,,,,,t,,,,,,
79,Retail,Average retail bike shed access score,0.0901,Score of population with low stress access compared to total population within the bike shed distance of retail clusters in the neighborhood expressed as an average of all retail clusters in the neighborhood,"On average, retail clusters in the neighborhood are connected by the low stress access to this percentage people within biking distance.",,,,,,,,,,,,,,,,
80,Retail,Median retail population shed score,0.0654,Score of population with low stress access to retail in the neighborhood to total population within the bike shed of each retail cluster expressed as a median of all retail clusters in the neighborhood,"Half of retail clusters in the neighborhood have low stress connections to a higher percentage of people within biking distance, half are connected to a lower percentage. (if only one retail exists this is the score for that one location)",,,,,,,,,,,,,,,,
81,Retail,70th percentile retail population shed score,0.1265,Score of population with low stress access to retail in the neighborhood to total population within the bike shed of each retail cluster expressed as the 70th percentile of all retail clusters in the neighborhood,"30% of retail clusters in the neighborhood have low stress connections to a higher percentage of people within biking distance, 70% are connected to a lower percentage. (if only one retail exists this is the score for that one location)",,,,,,,,,,,,,,,,
82,Retail,30th percentile retail population shed score,0.0271,Score of population with low stress access to retail in the neighborhood to total population within the bike shed of each retail cluster expressed as the 30th percentile of all retail clusters in the neighborhood,"70% of retail clusters in the neighborhood have low stress connections to a higher percentage of people within biking distance, 30% are connected to a lower percentage. (if only one retail exists this is the score for that one location)",,,,,,,,,,,,,,,,
83,Core Services,Average score of low stress access to supermarkets,0.0000,Number of supermarkets accessible by low stress expressed as an average of all census blocks in the neighborhood,"On average, census blocks in the neighborhood have low stress access to this many supermarkets.",,,,,,,,,,,,,,,,
84,Core Services,Median score of supermarkets access,0.0000,Score of supermarkets accessible by low stress compared to supermarkets accessible by high stress expressed as the median of all census blocks in the neighborhood,"Half of census blocks in this neighborhood have low stress access to a higher ratio of supermarkets within biking distance, half have access to a lower ratio.",,,,,,,,,,,,,,,,
85,Core Services,70th percentile score of supermarkets access,0.0000,Score of supermarkets accessible by low stress compared to supermarkets accessible by high stress expressed as the 70th percentile of all census blocks in the neighborhood,"30% of census blocks in this neighborhood have low stress access to a higher ratio of supermarkets within biking distance, 70% have access to a lower ratio.",,,,,,,,,,,,,,,,
86,Core Services,30th percentile score of supermarkets access,0.0000,Score of supermarkets accessible by low stress compared to supermarkets accessible by high stress expressed as the 30th percentile of all census blocks in the neighborhood,"70% of census blocks in this neighborhood have low stress access to a higher ratio of supermarkets within biking distance, 30% have access to a lower ratio.",,,,,,,,,,,,,,,,
87,Core Services,Average score of access to grocery stores,0.2246,Average grocery score for census blocks weighted by population.,"On average, census blocks in the neighborhood received this grocery score.",,,,,,,,,,,t,,,,,
88,Core Services,Average supermarkets bike shed access score,0.1039,Score of population with low stress access compared to total population within the bike shed distance of supermarkets in the neighborhood expressed as an average of all supermarkets in the neighborhood,"On average, supermarkets in the neighborhood are connected by the low stress access to this percentage people within biking distance.",,,,,,,,,,,,,,,,
89,Core Services,Median supermarkets population shed score,0.1104,Score of population with low stress access to supermarkets in the neighborhood to total population within the bike shed of each supermarket expressed as a median of all supermarkets in the neighborhood,"Half of supermarkets in the neighborhood have low stress connections to a higher percentage of people within biking distance, half are connected to a lower percentage. (if only one supermarkets exists this is the score for that one location)",,,,,,,,,,,,,,,,
90,Core Services,70th percentile supermarkets population shed score,0.1333,Score of population with low stress access to supermarkets in the neighborhood to total population within the bike shed of each supermarket expressed as the 70th percentile of all supermarkets in the neighborhood,"30% of supermarkets in the neighborhood have low stress connections to a higher percentage of people within biking distance, 70% are connected to a lower percentage. (if only one supermarkets exists this is the score for that one location)",,,,,,,,,,,,,,,,
91,Core Services,30th percentile supermarkets population shed score,0.0658,Score of population with low stress access to supermarkets in the neighborhood to total population within the bike shed of each supermarket expressed as the 30th percentile of all supermarkets in the neighborhood,"70% of supermarkets in the neighborhood have low stress connections to a higher percentage of people within biking distance, 30% are connected to a lower percentage. (if only one supermarkets exists this is the score for that one location)",,,,,,,,,,,,,,,,
92,Core Services,Average score of low stress access to social services,0.0000,Number of social services accessible by low stress expressed as an average of all census blocks in the neighborhood,"On average, census blocks in the neighborhood have low stress access to this many social services.",,,,,,,,,,,,,,,,
93,Core Services,Median score of social services access,0.0000,Score of social services accessible by low stress compared to social services accessible by high stress expressed as the median of all census blocks in the neighborhood,"Half of census blocks in this neighborhood have low stress access to a higher ratio of social services within biking distance, half have access to a lower ratio.",,,,,,,,,,,,,,,,
94,Core Services,70th percentile score of social services access,0.0000,Score of social services accessible by low stress compared to social services accessible by high stress expressed as the 70th percentile of all census blocks in the neighborhood,"30% of census blocks in this neighborhood have low stress access to a higher ratio of social services within biking distance, 70% have access to a lower ratio.",,,,,,,,,,,,,,,,
95,Core Services,30th percentile score of social services access,0.0000,Score of social services accessible by low stress compared to social services accessible by high stress expressed as the 30th percentile of all census blocks in the neighborhood,"70% of census blocks in this neighborhood have low stress access to a higher ratio of social services within biking distance, 30% have access to a lower ratio.",,,,,,,,,,,,,,,,
96,Core Services,Average score of access to social services,0.0717,Average social services score for census blocks weighted by population.,"On average, census blocks in the neighborhood received this social services score.",,,,,,,,,,,,t,,,,
97,Core Services,Average social_services bike shed access score,0.0430,Score of population with low stress access compared to total population within the bike shed distance of social services in the neighborhood expressed as an average of all social services in the neighborhood,"On average, social_services in the neighborhood are connected by the low stress access to this percentage people within biking distance.",,,,,,,,,,,,,,,,
98,Core Services,Median social_services population shed score,0.0479,Score of population with low stress access to social services in the neighborhood to total population within the bike shed of each social service location expressed as a median of all social services in the neighborhood,"Half of social services in the neighborhood have low stress connections to a higher percentage of people within biking distance, half are connected to a lower percentage. (if only one social_services exists this is the score for that one location)",,,,,,,,,,,,,,,,
99,Core Services,70th percentile social_services population shed score,0.0882,Score of population with low stress access to social services in the neighborhood to total population within the bike shed of each social service location expressed as the 70th percentile of all social services in the neighborhood,"30% of social services in the neighborhood have low stress connections to a higher percentage of people within biking distance, 70% are connected to a lower percentage. (if only one social_services exists this is the score for that one location)",,,,,,,,,,,,,,,,
100,Core Services,30th percentile social_services population shed score,0.0143,Score of population with low stress access to social services in the neighborhood to total population within the bike shed of each social service location expressed as the 30th percentile of all social services in the neighborhood,"70% of social services in the neighborhood have low stress connections to a higher percentage of people within biking distance, 30% are connected to a lower percentage. (if only one social_services exists this is the score for that one location)",,,,,,,,,,,,,,,,
101,Recreation,Average score of low stress access to parks,0.0000,Number of parks accessible by low stress expressed as an average of all census blocks in the neighborhood,"On average, census blocks in the neighborhood have low stress access to this many parks.",,,,,,,,,,,,,,,,
102,Recreation,Median score of parks access,0.0000,Score of parks accessible by low stress compared to parks accessible by high stress expressed as the median of all census blocks in the neighborhood,"Half of census blocks in this neighborhood have low stress access to a higher ratio of parks within biking distance, half have access to a lower ratio.",,,,,,,,,,,,,,,,
